Job,Link,Company,Location,Classification,Subclassification,Type,Date_Posted,Description
Market Research Executive,,at Private Advertiser,"Tauranga Central, Bay of Plenty",Marketing & Communications,Market Research & Analysis,,,
Senior Business Analyst,,at Datacom,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Head of Data Technology,,at Talinger Ltd,"Auckland CBD, Auckland",Information & Communication Technology,Management,,,
Business Analyst,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,"Wellington Central, Wellington",Government & Defence,Government,,,
Database Administrator,,at MTF Finance,"Dunedin Central, Otago",Information & Communication Technology,Database Development & Administration,,,
Senior Manager - Metadata Lineage,,at Westpac,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Senior Workforce Analyst,,at Department of Internal Affairs,Wellington,Government & Defence,Local Government,,,
"Project Business Partner - Hobsonville, Auckland/Wellington",,at Kainga Ora,"Porirua, Wellington",Construction,Project Management,,,
Compliance Analyst - Brokerage,,at Tiger Brokers (NZ) Limited,"Auckland CBD, Auckland",Banking & Financial Services,Compliance & Risk,,,
Commercial Analyst - Administration Support,,at Debbie Graham & Associates Limited,"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Conversion Optimisation Specialist,,at NZME,"Auckland CBD, Auckland",Marketing & Communications,Digital & Search Marketing,,,
Senior Marketing Campaign Analyst,,at ASB Bank Limited,"Auckland CBD, Auckland",Marketing & Communications,Direct Marketing & CRM,,,
Senior Process & Business Analyst,,at Datacom,"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Senior Data Consultant,,at Spark New Zealand Trading Limited,"Auckland CBD, Auckland",Information & Communication Technology,Consultants,,,
Data Administrator,,at Lindisfarne College,"Hastings Central, Hawkes Bay",Administration & Office Support,Data Entry & Word Processing,,,
Economist,,at ANZ Banking group,"Auckland CBD, Auckland",Banking & Financial Services,Banking - Corporate & Institutional,,,
Systems Analyst (SA Custom Apps & Microservices 1),,at Air New Zealand,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Data Engineer,,at Peoplebank,Auckland,Information & Communication Technology,Database Development & Administration,,,
Senior Workday HCM Analyst,,at Xero,"Te Aro, Wellington",Information & Communication Technology,Developers/Programmers,,,
Senior Investment Analyst,,at Vector,"Auckland CBD, Auckland",Accounting,Analysis & Reporting,,,
Intelligence analyst,,at Waka Kotahi - NZ Transport Agency,Wellington,Government & Defence,Other,,,
Systems Support Analyst – SharePoint and M365,,at New Zealand Film Commission,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Head of Business Intelligence,,at NZ Rugby,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Technical Business Analyst,,at Hays | Technology,"Auckland CBD, Auckland",Information & Communication Technology,Other,,,
Commercial Analyst,,at JUCY,"Parnell, Auckland",Sales,Analysis & Reporting,,,
Senior Analyst,,at Electricity Authority,"Wellington Central, Wellington",Government & Defence,Government,,,
Senior Systems Specialist - SRE Chapter - Data and Analytics,,at ASB Bank Limited,"Albany, Auckland",Information & Communication Technology,Engineering - Software,,,
Data and Integration Specialist,,at Taska360,Wellington,Information & Communication Technology,Database Development & Administration,,,
Applications Support Analyst - IT - LIMS Development,,at AsureQuality Ltd,"Mount Wellington, Auckland",Information & Communication Technology,Other,,,
Quality Control Laboratory Technician,,at New Zealand Pharmaceuticals,"Linton, Manawatu",Science & Technology,Laboratory & Technical Services,,,
Digital Marketing Associate,,at Card Works Limited,"Auckland CBD, Auckland",Marketing & Communications,Digital & Search Marketing,,,
Financial Analyst,,at Electra,"Levin, Manawatu",Accounting,Analysis & Reporting,,,
Policy Business Process Analyst,,at Randstad Technologies,Wellington,Consulting & Strategy,Policy,,,
Data Engineer,,at IAG,"Christchurch Central, Canterbury",Information & Communication Technology,Engineering - Software,,,
"Administrator, Data Quality",,at Wellington Water Limited,"Petone, Wellington",Information & Communication Technology,Database Development & Administration,,,
GIS Analyst for Adverse Events,,at Federated Farmers of New Zealand,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Intelligence analyst,,at Waka Kotahi - NZ Transport Agency,"Auckland CBD, Auckland",Government & Defence,Other,,,
"Associate Analyst, Global Equities, Wealth Management Research",,at Forsyth Barr Limited,"Wellington Central, Wellington",Banking & Financial Services,Stockbroking & Trading,,,
Business Analyst - Processes,,at H2R Consulting,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Agribusiness Analyst,,at AbacusBio Ltd,"Dunedin Central, Otago",Banking & Financial Services,Analysis & Reporting,,,
Senior Data Analyst,,at Te Taura Whiri i te reo Māori,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Chapter Lead: Business Analysis,,at Westpac,"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Senior BA,,at Absolute IT Limited,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Senior Analyst - Insights and Measurement Quality Assurance,,at Oranga Tamariki - Ministry for Children,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Senior Business Analyst,,at Find IT Recruitment,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst,,at Absolute IT Limited,"Tauranga, Bay of Plenty",Information & Communication Technology,Business/Systems Analysts,,,
Contract Business Analyst - Healthcare,,at Sourced | IT Recruitment Specialists,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
Data Centre Support Specialist,,at Spark New Zealand Trading Limited,"Auckland CBD, Auckland",Information & Communication Technology,Other,,,
Business Analyst - Product & Supply Chain,,at Trade Window,"Takapuna, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Insights Co-ordinator,,at H2R Technology Limited,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Systems Analyst - Networks,,at SKYCITY,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Group Financial Controller,,at The Fred Hollows Foundation NZ,"Auckland CBD, Auckland",Accounting,Financial Managers & Controllers,,,
Operator - Data and Document Services,,at Marketing Impact,"Newtown, Wellington",Information & Communication Technology,Computer Operators,,,
IT & Systems Analyst,,at Fabrum Solutions,"Hornby, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Data Processing Technical Lead - Market Research,,at Infotools,"Takapuna, Auckland",Marketing & Communications,Market Research & Analysis,,,
Business Systems Analyst,,at Convergence,"Point Chevalier, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Policy Analyst,,at flexhive by Hudson,Wellington,Administration & Office Support,Administrative Assistants,,,
Talend Data Engineer,,at Recruit I.T. Auckland,Auckland,Information & Communication Technology,Engineering - Software,,,
Senior Operations Analyst/Operations Analyst,,at Ministry for Primary Industries,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Senior Business Analyst/Technical Writer,,at Potentia Wellington,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst Consultant,,at Redvespa Consultants Limited,"Christchurch Central, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Analyst Developer,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,Auckland,Information & Communication Technology,Developers/Programmers,,,
Senior Business Analyst,,at Find IT Recruitment,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
SQL Database Administrator,,at Techspace Consulting Limited,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Business Analyst,,at Projectworks,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Financial Accounting and Reporting Analyst,,at Momentum Consulting Group,"Auckland CBD, Auckland",Accounting,Financial Accounting & Reporting,,,
Senior Business Analyst - Fixed Term,,at Find IT Recruitment,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst,,at Absolute IT Limited,"Hamilton, Waikato",Information & Communication Technology,Business/Systems Analysts,,,
Information Architect,,at University of Otago,"North Dunedin, Otago",Information & Communication Technology,Architects,,,
Senior Business Analyst,,at Starfish Consulting,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst,,at BrightSpark Recruitment,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
BUSINESS ANALYST - AUCKLAND BASED,,at Horizon Energy Group,"Penrose, Auckland",Construction,"Health, Safety & Environment",,,
Search Engine Optimisation Specialist,,at Fabric Digital,"Albany, Auckland",Marketing & Communications,Digital & Search Marketing,,,
Management accountant,,at Bayleys Realty Group,"Auckland CBD, Auckland",Accounting,Management Accounting & Budgeting,,,
Digital Platform Specialist,,at JOYN,"Grafton, Auckland",Information & Communication Technology,Product Management & Development,,,
Operations Analytics Mananger,,at HelloFresh,"Penrose, Auckland",Consulting & Strategy,Analysts,,,
Data Analysis Assistant - Sales,,at Summerset,"Wellington Central, Wellington",Sales,Analysis & Reporting,,,
Senior Business Analyst,,at Easy Crypto,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Lead Data Engineer,,at Westpac,"Auckland CBD, Auckland",Information & Communication Technology,Engineering - Software,,,
Policy Analyst,,at Oranga Tamariki - Ministry for Children,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Senior Data Engineer,,at Tower Limited,"Auckland CBD, Auckland",Information & Communication Technology,Engineering - Software,,,
Business Analyst - Contract,,at OCG Consulting Ltd,Wellington,Government & Defence,Government,,,
Senior Business Analyst (Contract),,at Absolute IT Limited,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Collective Business Analyst,,at Te Runanga o Toa Rangatira Inc,"Porirua, Wellington",Community Services & Development,Community Development,,,
Senior BI Consultant,,at 40 Foot Consulting Limited,"Auckland CBD, Auckland",Information & Communication Technology,Consultants,,,
Business Analyst,,at Convergence,"Grafton, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Change Analyst,,at Crew Technology Recruitment,"Christchurch, Canterbury",Information & Communication Technology,Other,,,
Senior Reward Analyst,,at Randstad Technologies,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
DBA Reporting Engineer,,at iPayroll Group,"Wellington Central, Wellington",Information & Communication Technology,Database Development & Administration,,,
Research Analyst and Writer,,at The University of Auckland,"Auckland CBD, Auckland",Government & Defence,Government,,,
Web Product Analyst - Interesting and varied contract opportunity,,at H2R Technology Limited,"Wellington Central, Wellington",Information & Communication Technology,Web Development & Production,,,
Asset Management Data Coordinator,,at Auckland Airport,"Auckland Airport, Auckland",Information & Communication Technology,Database Development & Administration,,,
Business Analysts - Multiple Roles,,at Find IT Recruitment,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst,,at Enatel,"Wigram, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Digital Marketing and Campaign Specialist,,at Te Pukenga Trading as WITT,"New Plymouth Central, Taranaki",Marketing & Communications,Digital & Search Marketing,,,
Project Manager,,at Vega Global New Zealand Limited,"Thorndon, Wellington",Information & Communication Technology,Programme & Project Management,,,
Senior Business Analyst,,at Talent Vault Ltd,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst,,at Ventia,"Auckland CBD, Auckland",Consulting & Strategy,Analysts,,,
Process Consultant,,at Suncorp,"Auckland CBD, Auckland",Information & Communication Technology,Other,,,
"Senior Data Engineer (Azure, Python, End-to-End)",,at Randstad Technologies,Auckland,Information & Communication Technology,Database Development & Administration,,,
Senior Business Analyst,,at Techspace Consulting Limited,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Senior Statistician,,at Oritain Global Limited,"Dunedin Central, Otago",Science & Technology,"Mathematics, Statistics & Information Sciences",,,
Commercialisation Analyst - Scion,,at New Zealand Forest Research Ltd trading as Scion,"Rotorua Central, Bay of Plenty",Science & Technology,Other,,,
Senior Business Intelligence Developer,,at Kainga Ora,"Wellington Central, Wellington",Information & Communication Technology,Developers/Programmers,,,
Network Systems Analyst – Public and Private Cloud,,at SKYCITY,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Senior Analyst - Kiwi Group Capital,,at The Treasury,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Workspace & Collaboration Technology Owner / Solutions Analyst,,at PwC NZ,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst,,at Absolute IT Limited,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
Software Support Analyst,,at Aurecon,"Auckland CBD, Auckland",Information & Communication Technology,Help Desk & IT Support,,,
Senior BA- Compliance/ Reg,,at Consult Recruitment - IT & Digital,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Finance Analyst - Part time,,at Good George Hospitality Group,"Hamilton Central, Waikato",Accounting,Analysis & Reporting,,,
Senior Insights Analyst,,at Precision Sourcing,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst,,at HW Richardson Group,"Invercargill Central, Southland",Information & Communication Technology,Business/Systems Analysts,,,
People Analytics Lead,,at Windcave Limited,"Auckland CBD, Auckland",Human Resources & Recruitment,Management - Internal,,,
Geospatial Analyst,,at Waka Kotahi - NZ Transport Agency,Auckland,Science & Technology,"Environmental, Earth & Geosciences",,,
Digital Marketing and Campaign Specialist,,at Te Pukenga Trading as WITT,"New Plymouth Central, Taranaki",Marketing & Communications,Digital & Search Marketing,,,
Group Information Systems Manager,,at ETEL Ltd,"Avondale, Auckland",Information & Communication Technology,Management,,,
Analyst/Researcher for Property Economics Consultancy,,at Insight Economics,"Newmarket, Auckland",Consulting & Strategy,Analysts,,,
Compliance Analyst - Brokerage,,at Tiger Brokers (NZ) Limited,"Auckland CBD, Auckland",Banking & Financial Services,Compliance & Risk,,,
Data Migration Lead,,at Crew Technology Recruitment,"Christchurch, Canterbury",Information & Communication Technology,Programme & Project Management,,,
Senior Business Analyst,,at AIA New Zealand,"Takapuna, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Geospatial Analyst,,at Waka Kotahi - NZ Transport Agency,"Christchurch, Canterbury",Science & Technology,"Environmental, Earth & Geosciences",,,
Geospatial Analyst,,at Waka Kotahi - NZ Transport Agency,Wellington,Science & Technology,"Environmental, Earth & Geosciences",,,
Senior Analyst,,at TSB,"New Plymouth Central, Taranaki",Banking & Financial Services,Account & Relationship Management,,,
Senior Analyst (Compensation and Rewards),,at Find IT Recruitment,"Auckland CBD, Auckland",Consulting & Strategy,Analysts,,,
ILT Support Analyst,,at St Cuthbert's College,"Auckland CBD, Auckland",Information & Communication Technology,Help Desk & IT Support,,,
Technical Business Analyst,,at Robert Walters,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst - Contract,,at Robert Half Management Resources,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Reporting Advisor - Market Delivery,,at Tribe (New Zealand) Limited,"Newmarket, Auckland",Marketing & Communications,Public Relations & Corporate Affairs,,,
Business Analyst,,at Platinum Recruitment Limited,"Christchurch Central, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Data and Analytics Manager,,at Crew Technology Recruitment,"Christchurch Central, Canterbury",Information & Communication Technology,Management,,,
Associate Systems Specialist,,at Fisher & Paykel Healthcare,"Manukau & East Auckland, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Graduate Machine Learning Engineer,,at Advanced Learning Limited,"Epsom, Auckland",Information & Communication Technology,Developers/Programmers,,,
Business Systems Specialist – Laboratory Services,,at Absolute IT Limited,"Mangere, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst,,at Starfish Consulting,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Enablement Business Analyst,,at Robert Walters,Wellington,Government & Defence,Government,,,
Intermediate/Senior Database Integration Specialists,,at Robert Walters,Wellington,Information & Communication Technology,Database Development & Administration,,,
Group Information Systems Manager,,at ETEL Ltd,"Avondale, Auckland",Information & Communication Technology,Management,,,
Digital Marketing and Campaign Specialist,,at Te Pukenga Trading as WITT,"New Plymouth Central, Taranaki",Marketing & Communications,Digital & Search Marketing,,,
Data Migration Lead,,at Crew Technology Recruitment,"Auckland CBD, Auckland",Information & Communication Technology,Programme & Project Management,,,
Support Analyst,,at CAA/Avsec,"Rest of Otago, Otago",Information & Communication Technology,Help Desk & IT Support,,,
Sustainability Reporting Lead,,at Synlait Milk Ltd,"Christchurch Central, Canterbury",Consulting & Strategy,Environment & Sustainability Consulting,,,
SAS Developer,,at Recruit I.T. Wellington,"Wellington Central, Wellington",Information & Communication Technology,Developers/Programmers,,,
Monitoring Analyst,,at NZDF,"Upper Hutt, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Senior Data Engineer,,at Absolute IT Limited,"Freemans Bay, Auckland",Information & Communication Technology,Architects,,,
Senior Data Engineer,,at Mott MacDonald Australia and New Zealand,"Auckland CBD, Auckland",Information & Communication Technology,Engineering - Software,,,
Business Analyst,,at Starfish Consulting,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Supply Planning Analyst,,at Danone Nutricia NZ Ltd,"Auckland Airport, Auckland","Manufacturing, Transport & Logistics","Production, Planning & Scheduling",,,
Enterprise Portfolio Office (ePO) Analyst/Coordinator,,at Waikato Regional Council,"Hamilton Central, Waikato",Information & Communication Technology,Programme & Project Management,,,
Database Analyst,,at Ngati Hine Health Trust,"Whangarei Central, Northland",Information & Communication Technology,Database Development & Administration,,,
Marketing Insights Specialists,,at Farmers Trading Company,"East Tamaki, Auckland",Marketing & Communications,Market Research & Analysis,,,
Environmental Implementation Spatial Analyst,,at Otago Regional Council,"Dunedin Central, Otago",Government & Defence,Regional Council,,,
Senior Analyst,,at Find Recruitment Limited,"Wellington Central, Wellington",Banking & Financial Services,Analysis & Reporting,,,
Senior Analyst Programmer,,at The Co-operative Bank,"Wellington Central, Wellington",Information & Communication Technology,Developers/Programmers,,,
Energy & Markets Insights Specialist,,at Orion NZ Ltd,"Christchurch Central, Canterbury","Mining, Resources & Energy",Analysis & Reporting,,,
Principal Advisor Data and Forensics,,at Auckland Council,"Auckland CBD, Auckland",Accounting,Forensic Accounting & Investigation,,,
Business Analyst,,at people&co.,"Palmerston North Central, Manawatu",Information & Communication Technology,Business/Systems Analysts,,,
Senior Economist,,at NZIER,"Wellington Central, Wellington",Consulting & Strategy,Analysts,,,
Data Migration Lead,,at Crew Technology Recruitment,"Dunedin, Otago",Information & Communication Technology,Programme & Project Management,,,
Hardware Reliability Engineer,,at Halter,"Auckland CBD, Auckland",Engineering,Electrical/Electronic Engineering,,,
INTERNATIONAL DIGITAL MARKETING MANAGER – (Mix of Digital and Design),,at Ferret Tools,"Devonport, Auckland",Marketing & Communications,Digital & Search Marketing,,,
Data Migration Lead,,at Crew Technology Recruitment,"Dunedin, Otago",Information & Communication Technology,Programme & Project Management,,,
Operational Policy Analyst,,at Department of Internal Affairs,Wellington,Government & Defence,Local Government,,,
"Associate, Research & Analysis",,at ANZ Banking group,"Auckland CBD, Auckland",Banking & Financial Services,Banking - Corporate & Institutional,,,
Senior Analyst - Data & Analytics,,at OceanaGold (New Zealand) Ltd,"Dunedin Central, Otago",Information & Communication Technology,Architects,,,
Bio Information Analyst,,at Bay of Plenty Regional Council,"Tauranga Central, Bay of Plenty",Science & Technology,"Environmental, Earth & Geosciences",,,
Business Analyst and Systems Support,,at NZME,"Ellerslie, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
DBA & Application Support,,at TVNZ,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Operational Risk and Compliance Analyst,,at KiwiRail,"Wellington Central, Wellington",Information & Communication Technology,Security,,,
Support Analyst,,at CAA/Avsec,"Wellington Central, Wellington",Information & Communication Technology,Help Desk & IT Support,,,
Business Analyst,,at Echelon Group,"Christchurch, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
"Senior Digital Adviser, Analytics",,at Victoria University of Wellington,"Kelburn, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Change Analyst - Digital Unit,,at Christchurch City Council,"Christchurch Central, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Research Analyst / Researcher,,at PublicVoice,"Lower Hutt, Wellington",Marketing & Communications,Market Research & Analysis,,,
Senior Analyst - Research and Evaluation,,at Ministry for Pacific Peoples,"Wellington Central, Wellington",Consulting & Strategy,Analysts,,,
Analyst (Lvl 2),,at Ministry of Justice,"Wellington Central, Wellington",Government & Defence,Government,,,
Senior Analyst Programmer,,at Find Recruitment,"Auckland CBD, Auckland",Information & Communication Technology,Developers/Programmers,,,
Chapter Lead-Data Engineering,,at RWA People - Connecting IT people with outstanding jobs,Auckland,Information & Communication Technology,Consultants,,,
Policy Analyst,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,Wellington,Government & Defence,Government,,,
Post-Doctoral Researcher (Soils & Landscapes),,at Manaaki Whenua - Landcare Research,"Palmerston North Central, Manawatu",Science & Technology,"Environmental, Earth & Geosciences",,,
Data Architect,,at Starfish Consulting,"Wellington Central, Wellington",Information & Communication Technology,Architects,,,
Laboratory - Microbiologist,,at Watercare Services Limited,"Auckland CBD, Auckland",Science & Technology,Laboratory & Technical Services,,,
Customer Enhancement Administrator,,at Smart Environmental,"Massey, Auckland",Call Centre & Customer Service,Customer Service - Call Centre,,,
Senior Business Analyst,,at Starfish Consulting,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Senior Intelligence Analyst,,at Department of Internal Affairs,Wellington,Government & Defence,Government,,,
Technical Business Analyst,,at Bureau Limited,"Mangere, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Systems Support Analyst,,at Southern Cross Health Society,"Auckland CBD, Auckland",Information & Communication Technology,Networks & Systems Administration,,,
Principal Analyst and Senior Analyst - Interdepartmental Executive Board (IEB),,at Ministry for the Environment,"Auckland CBD, Auckland",Government & Defence,"Policy, Planning & Regulation",,,
Senior Business System Analyst,,at Fire and Emergency New Zealand,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst,,at Infuse Recruitment,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
3 x (Tech & Functional) Business Analysts - Contract,,at Robert Half Management Resources,"Papakura, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Graduate Analyst Developer,,at FNZ Services (NZ) Limited,"Wellington Central, Wellington",Information & Communication Technology,Developers/Programmers,,,
Kaitātari Kaupapa Here | Policy Analyst - Waste (3 positions),,at Ministry for the Environment,"Auckland CBD, Auckland",Government & Defence,"Policy, Planning & Regulation",,,
Data Engineering Lead,,at Tribe (New Zealand) Limited,"Auckland CBD, Auckland",Information & Communication Technology,Architects,,,
Tech Risk Analyst,,at Techspace Consulting Limited,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Policy Analyst - Older Peoples Policy team,,at Ministry of Social Development,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Business Analyst,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Principal Analyst and Senior Analyst - Interdepartmental Executive Board (IEB),,at Ministry for the Environment,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Application Support Analyst,,at Absolute IT Limited,"Invercargill Central, Southland",Information & Communication Technology,Help Desk & IT Support,,,
Financial Analyst,,at Profile Group,"Christchurch, Canterbury",Accounting,Analysis & Reporting,,,
Data and Catalogue Administrator,,at Bunzl Australasia Limited,"Newmarket, Auckland",Information & Communication Technology,Database Development & Administration,,,
Commercial Analyst - Supply Chain/Export,,at Champion Flour Milling Limited,"Auckland CBD, Auckland","Manufacturing, Transport & Logistics",Analysis & Reporting,,,
Intermediate and Senior BI Consultant,,at Recruit I.T. Wellington,"Wellington Central, Wellington",Information & Communication Technology,Consultants,,,
Sales Manager,,at MADE Group,"Hamilton Central, Waikato",Real Estate & Property,Residential Sales,,,
National Sales manager,,at JOYN,"Auckland CBD, Auckland",Sales,Management,,,
UX and Portfolio Analytics Manager,,at Danone Nutricia NZ Ltd,"Auckland Airport, Auckland",Science & Technology,Other,,,
Kaitātari Kaupapa Here | Policy Analyst - Waste (3 positions),,at Ministry for the Environment,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Sustainability & Marketing Analyst,,at Veolia,"Ellerslie, Auckland",Consulting & Strategy,Environment & Sustainability Consulting,,,
Senior Data Scientist,,at Scentian Bio,"Sandringham, Auckland",Science & Technology,"Mathematics, Statistics & Information Sciences",,,
Support Analyst,,at CAA/Avsec,"Christchurch Central, Canterbury",Information & Communication Technology,Help Desk & IT Support,,,
Senior Business Process Analyst,,at Ministry for Primary Industries,"Wellington Central, Wellington",Government & Defence,Government,,,
Senior Data Analyst,,at Absolute IT Limited,Wellington,Information & Communication Technology,Database Development & Administration,,,
National Manager Data and Digital,,at Ministry of Social Development,"Wellington Central, Wellington",Information & Communication Technology,Management,,,
Business Analyst (ChCh or Palm. North),,at Effectus,"Christchurch Central, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst - General Insurance domain,,at Cognizant Technology Solutions Australia Pty Ltd,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst,,at Department of Internal Affairs,Wellington,Government & Defence,Local Government,,,
Business Analyst - Expression of Interest,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Technical Business Analyst,,at Randstad Technologies,"Christchurch, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Workforce Analyst,,at Cigna NZ,"Wellington Central, Wellington",Call Centre & Customer Service,Management & Support,,,
Data Engineer,,at Momentum Consulting Group,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Database Administrator,,at The University of Auckland,"Newmarket, Auckland",Information & Communication Technology,Database Development & Administration,,,
Kaitātari Pakihi Matua | Senior Business Analyst,,at Ministry for the Environment,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst,,at Southern Cross Health Society,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
Senior Commercial Analyst,,at Foodstuffs South Island Limited,"Christchurch, Canterbury",Accounting,Analysis & Reporting,,,
"Senior Analyst, Strategic Finance",,at Find Recruitment Limited,Wellington,Banking & Financial Services,Analysis & Reporting,,,
Whāriki Kaiwaewae Programme Coordinator,,at Wise Group,Wellington,Community Services & Development,Other,,,
Whāriki Kaiwaewae Programme Coordinator,,at Wise Group,Auckland,Community Services & Development,Other,,,
Senior Sire Analyst - Livestock Selection,,at LIC,"Hamilton Central, Waikato",Science & Technology,Biotechnology & Genetics,,,
Insights Specialist,,at Tracksuit,"Auckland CBD, Auckland",Marketing & Communications,Market Research & Analysis,,,
Senior Business Analyst,,at Crew Technology Recruitment,"Christchurch Central, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Data Engineer,,at BrightSpark Recruitment,Auckland,Information & Communication Technology,Database Development & Administration,,,
Senior Sire Analyst - Livestock Selection,,at LIC,"Hamilton East, Waikato","Farming, Animals & Conservation",Agronomy & Farm Services,,,
Business Analyst Lead/Mentor,,at Crew Technology Recruitment,"Christchurch, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
